Sequence ID	Cascade-Cluster-ID	Single-Step-Cluster-ID				Single-Step-Sequence ID	Single-Step-Cluster ID
518	171	13802				518	13802
519	171	13802				519	13802
520	171	13802				520	13802
521	171	13802				521	13802
522	171	13802				522	13802
523	171	13802				523	13802
524	171	13802				524	13802
525	171	13802				525	13802
526	171	13802				526	13802
527	171	13802				527	13802
528	171	13802				528	13802
529	171	13802				529	13802
530	171	13802				530	13802
531	171	13802				531	13802
532	171	13802				532	13802
533	171	13802				533	13802
534	171	13802				534	13802
535	171	13802				535	13802
536	171	13802				536	13802
537	171	13802				537	13802
538	171	13802				538	13802
539	171	13802				539	13802
540	171	13802				540	13802
541	171	13802				541	13802
542	171	13802				542	13802
543	171	13802				543	13802
544	171	13802				544	13802
545	171	13802				545	13802
546	171	13802				546	13802
547	171	13802				547	13802
548	171	13802				548	13802
549	171	13802				549	13802
550	171	13802				550	13802
551	171	13802				551	13802
552	171	13802				552	13802
553	171	13802				553	13802
554	171	13802				554	13802
555	171	13802				555	13802
556	171	13802				556	13802
557	171	13802				557	13802
558	171	13802				558	13802
559	171	13802				559	13802
560	171	13802				560	13802
561	171	13802				561	13802
562	171	13802				562	13802
563	171	13802				563	13802
564	171	13802				564	13802
565	171	13802				565	13802
566	171	13802				566	13802
567	171	13802				567	13802
568	171	13802				568	13802
569	171	13802				569	13802
570	171	13802				570	13802
571	171	13802				571	13802
572	171	13802				572	13802
573	171	13802				573	13802
574	171	13802				574	13802
575	171	13802				575	13802
576	171	13802				576	13802
577	171	13802				577	13802
578	171	13802				578	13802
579	171	13802				579	13802
580	171	13802				580	13802
581	171	13802				581	13802
582	171	13802				582	13802
583	171	13802				583	13802
584	171	13802				584	13802
585	171	13802				585	13802
586	171	13802				586	13802
587	587	47925				587	47925
588	588	13802				588	13802
589	589	589				589	589
590	590	590				590	590
591	590	590				591	590
592	590	590				592	590
593	590	590				593	590
594	590	590				594	590
595	590	590				595	590
596	590	590				596	590
597	590	590				597	590
598	590	590				598	590
599	590	590				599	590
600	590	590				600	590
601	590	590				601	590
602	590	590				602	590
603	590	47925				603	47925
604	590	590				604	590
605	590	590				605	590
606	590	590				606	590
607	590	590				607	590
608	590	47925				608	47925
609	590	590				609	590
610	590	590				610	590
611	590	590				611	590
612	590	590				612	590
613	590	47925				613	47925
614	590	47925				614	47925
615	590	47925				615	47925
616	590	590				616	590
617	590	590				617	590
618	590	590				618	590
619	590	47925				619	47925
620	590	590				620	590
621	590	590				621	590
622	590	590				622	590
623	590	47925				623	47925
624	590	590				624	590
625	590	47925				625	47925
626	590	590				626	590
627	590	590				627	590
628	590	590				628	590
629	590	590				629	590
630	590	47925				630	47925
631	590	47925				631	47925
632	590	47925				632	47925
633	590	590				633	590
634	590	590				634	590
635	590	590				635	590
636	590	590				636	590
637	590	590				637	590
638	590	47925				638	47925
639	590	47925				639	47925
640	590	590				640	590
641	590	590				641	590
642	590	590				642	590
643	590	590				643	590
644	590	590				644	590
645	590	47925				645	47925
646	590	590				646	590
647	590	47925				647	47925
648	590	590				648	590
649	590	590				649	590
650	590	590				650	590
651	590	13513				651	13513
652	590	590				652	590
653	590	590				653	590
654	590	590				654	590
655	590	590				655	590
656	590	47925				656	47925
657	590	47925				657	47925
658	590	590				658	590
659	590	590				659	590
660	590	47925				660	47925
661	590	590				661	590
662	590	590				662	590
663	590	590				663	590
664	590	590				664	590
665	590	590				665	590
666	590	590				666	590
667	590	47925				667	47925
668	590	590				668	590
669	590	47925				669	47925
670	590	47925				670	47925
671	590	590				671	590
672	590	47925				672	47925
673	590	47925				673	47925
674	590	590				674	590
675	590	590				675	590
676	590	590				676	590
677	590	590				677	590
678	590	590				678	590
679	590	590				679	590
680	680	680				680	680
681	681	47925				681	47925
682	682	47925				682	47925
683	683	734				683	734
684	683	13802				684	13802
685	683	13802				685	13802
686	683	734				686	734
687	683	47925				687	47925
688	683	734				688	734
689	683	13802				689	13802
690	683	13802				690	13802
691	691	13802				691	13802
692	692	13802				692	13802
693	693	693				693	693
694	693	47925				694	47925
695	693	693				695	693
696	693	47925				696	47925
697	693	47925				697	47925
698	693	47925				698	47925
699	693	693				699	693
700	693	693				700	693
701	693	693				701	693
702	693	693				702	693
703	693	693				703	693
704	693	693				704	693
705	693	693				705	693
706	693	693				706	693
707	693	693				707	693
708	693	693				708	693
709	693	693				709	693
710	693	693				710	693
711	693	693				711	693
712	693	693				712	693
713	713	13802				713	13802
714	714	47925				714	47925
715	715	47925				715	47925
716	715	47925				716	47925
717	715	47925				717	47925
718	715	47925				718	47925
719	715	47925				719	47925
720	715	47925				720	47925
721	721	47925				721	47925
722	722	47925				722	47925
723	722	47925				723	47925
724	722	47925				724	47925
725	722	47925				725	47925
726	726	47925				726	47925
727	727	13802				727	13802
728	728	13802				728	13802
729	729	13802				729	13802
730	730	13802				730	13802
731	730	13802				731	13802
732	732	732				732	732
733	733	47925				733	47925
734	734	734				734	734
735	734	734				735	734
736	734	734				736	734
737	734	734				737	734
738	734	734				738	734
739	734	734				739	734
740	734	734				740	734
741	734	734				741	734
742	734	734				742	734
743	734	734				743	734
744	734	734				744	734
745	734	734				745	734
746	734	734				746	734
747	734	734				747	734
748	734	734				748	734
749	734	734				749	734
750	734	734				750	734
751	734	734				751	734
752	734	47925				752	47925
753	734	734				753	734
754	734	47925				754	47925
755	734	734				755	734
756	734	734				756	734
757	734	734				757	734
758	734	734				758	734
759	734	734				759	734
760	734	734				760	734
761	734	734				761	734
762	734	47925				762	47925
763	734	734				763	734
764	734	734				764	734
765	734	734				765	734
766	734	47925				766	47925
767	734	734				767	734
768	734	47925				768	47925
769	734	47925				769	47925
770	734	734				770	734
771	734	47925				771	47925
772	734	734				772	734
773	734	47925				773	47925
774	734	734				774	734
775	734	734				775	734
776	734	734				776	734
777	734	47925				777	47925
778	734	734				778	734
779	734	734				779	734
780	734	47925				780	47925
781	734	734				781	734
782	734	47925				782	47925
783	734	734				783	734
784	734	47925				784	47925
785	734	47925				785	47925
786	734	734				786	734
787	734	47925				787	47925
788	734	47925				788	47925
789	734	734				789	734
790	734	47925				790	47925
791	734	734				791	734
792	734	734				792	734
793	734	734				793	734
794	734	47925				794	47925
795	734	734				795	734
796	734	734				796	734
797	734	734				797	734
798	734	734				798	734
799	734	734				799	734
800	734	47925				800	47925
801	734	734				801	734
802	734	734				802	734
803	734	47925				803	47925
804	734	734				804	734
805	734	734				805	734
806	734	47925				806	47925
807	734	734				807	734
808	734	734				808	734
809	734	47925				809	47925
810	734	47925				810	47925
811	734	734				811	734
812	734	734				812	734
813	734	47925				813	47925
814	734	47925				814	47925
815	734	734				815	734
816	734	47925				816	47925
817	734	734				817	734
818	734	47925				818	47925
819	734	734				819	734
820	734	734				820	734
821	734	47925				821	47925
822	734	734				822	734
823	734	47925				823	47925
824	734	734				824	734
825	734	47925				825	47925
826	734	734				826	734
827	734	47925				827	47925
828	734	734				828	734
829	734	734				829	734
830	734	734				830	734
831	734	47925				831	47925
832	734	47925				832	47925
833	734	47925				833	47925
834	734	734				834	734
835	734	734				835	734
836	734	734				836	734
837	734	47925				837	47925
838	734	734				838	734
839	734	47925				839	47925
840	734	734				840	734
841	734	734				841	734
842	734	47925				842	47925
843	734	734				843	734
844	734	47925				844	47925
845	734	734				845	734
846	734	734				846	734
847	734	47925				847	47925
848	734	734				848	734
849	734	47925				849	47925
850	734	734				850	734
851	734	47925				851	47925
852	734	47925				852	47925
853	734	734				853	734
854	734	734				854	734
855	734	734				855	734
856	734	734				856	734
857	734	47925				857	47925
858	734	47925				858	47925
859	734	47925				859	47925
860	734	734				860	734
861	734	734				861	734
862	734	47925				862	47925
863	734	734				863	734
864	734	47925				864	47925
865	734	47925				865	47925
866	734	47925				866	47925
867	734	734				867	734
868	734	47925				868	47925
869	734	47925				869	47925
870	734	734				870	734
871	734	734				871	734
872	734	734				872	734
873	734	47925				873	47925
874	734	47925				874	47925
875	734	47925				875	47925
876	734	47925				876	47925
877	734	47925				877	47925
878	734	734				878	734
879	734	734				879	734
880	734	47925				880	47925
881	734	47925				881	47925
882	734	47925				882	47925
883	734	734				883	734
884	734	47925				884	47925
885	734	47925				885	47925
886	734	47925				886	47925
887	734	47925				887	47925
888	734	47925				888	47925
889	734	47925				889	47925
890	734	47925				890	47925
891	734	47925				891	47925
892	734	47925				892	47925
893	734	47925				893	47925
894	734	734				894	734
895	734	47925				895	47925
896	734	47925				896	47925
897	734	47925				897	47925
898	734	47925				898	47925
899	734	47925				899	47925
900	734	47925				900	47925
901	734	47925				901	47925
902	734	47925				902	47925
903	734	47925				903	47925
904	734	47925				904	47925
905	734	47925				905	47925
906	734	47925				906	47925
907	734	47925				907	47925
908	734	47925				908	47925
909	734	47925				909	47925
910	734	47925				910	47925
911	734	734				911	734
912	734	734				912	734
913	734	47925				913	47925
914	734	47925				914	47925
915	734	734				915	734
916	734	47925				916	47925
917	734	47925				917	47925
918	734	47925				918	47925
919	734	47925				919	47925
920	734	47925				920	47925
921	734	47925				921	47925
922	734	47925				922	47925
923	734	47925				923	47925
924	734	47925				924	47925
925	734	47925				925	47925
926	734	47925				926	47925
927	734	47925				927	47925
928	734	47925				928	47925
929	734	47925				929	47925
930	734	47925				930	47925
931	734	47925				931	47925
932	734	47925				932	47925
933	734	47925				933	47925
934	734	47925				934	47925
935	734	47925				935	47925
936	734	47925				936	47925
937	734	734				937	734
938	734	47925				938	47925
939	734	47925				939	47925
940	734	47925				940	47925
941	734	734				941	734
942	734	47925				942	47925
943	734	47925				943	47925
944	734	47925				944	47925
945	734	47925				945	47925
946	734	47925				946	47925
947	734	47925				947	47925
948	734	47925				948	47925
949	734	47925				949	47925
950	734	47925				950	47925
951	734	47925				951	47925
952	734	47925				952	47925
953	734	47925				953	47925
954	734	734				954	734
955	734	47925				955	47925
956	734	47925				956	47925
957	734	47925				957	47925
958	734	47925				958	47925
959	734	47925				959	47925
960	734	47925				960	47925
961	734	47925				961	47925
962	734	47925				962	47925
963	734	734				963	734
964	734	47925				964	47925
965	734	47925				965	47925
966	734	47925				966	47925
967	734	734				967	734
968	734	47925				968	47925
969	734	47925				969	47925
970	734	47925				970	47925
971	734	734				971	734
972	734	47925				972	47925
973	734	47925				973	47925
974	734	47925				974	47925
975	734	47925				975	47925
976	734	47925				976	47925
977	734	47925				977	47925
978	734	47925				978	47925
979	734	734				979	734
980	734	734				980	734
981	734	47925				981	47925
982	734	47925				982	47925
983	734	47925				983	47925
984	734	47925				984	47925
985	734	47925				985	47925
986	734	47925				986	47925
987	734	47925				987	47925
988	734	734				988	734
989	734	47925				989	47925
990	734	47925				990	47925
991	734	47925				991	47925
992	734	47925				992	47925
993	734	47925				993	47925
994	734	734				994	734
995	734	47925				995	47925
996	734	734				996	734
997	734	47925				997	47925
998	734	47925				998	47925
999	734	47925				999	47925
1000	734	47925				1000	47925
1001	734	47925				1001	47925
1002	734	47925				1002	47925
1003	734	47925				1003	47925
1004	734	13802				1004	13802
1005	734	47925				1005	47925
1006	734	47925				1006	47925
1007	734	47925				1007	47925
1008	734	47925				1008	47925
1009	734	47925				1009	47925
1010	734	47925				1010	47925
1011	734	47925				1011	47925
1012	734	47925				1012	47925
1013	734	47925				1013	47925
1014	734	47925				1014	47925
1015	734	47925				1015	47925
1016	734	47925				1016	47925
1017	734	47925				1017	47925
1018	734	47925				1018	47925
1019	734	734				1019	734
1020	734	734				1020	734
1021	734	734				1021	734
1022	734	734				1022	734
1023	734	734				1023	734
1024	734	734				1024	734
1025	734	47925				1025	47925
1026	734	47925				1026	47925
1027	734	47925				1027	47925
1028	734	734				1028	734
1029	734	47925				1029	47925
1030	734	47925				1030	47925
1031	734	47925				1031	47925
1032	734	734				1032	734
1033	734	47925				1033	47925
1034	734	47925				1034	47925
1035	734	734				1035	734
1036	734	734				1036	734
1037	734	734				1037	734
1038	734	734				1038	734
1039	734	47925				1039	47925
1040	734	47925				1040	47925
1041	734	47925				1041	47925
1042	734	734				1042	734
1043	734	734				1043	734
1044	734	734				1044	734
1045	734	734				1045	734
1046	734	734				1046	734
1047	734	734				1047	734
1048	734	47925				1048	47925
1049	734	47925				1049	47925
1050	734	734				1050	734
1051	734	734				1051	734
1052	734	47925				1052	47925
1053	734	734				1053	734
1054	734	734				1054	734
1055	734	734				1055	734
1056	734	734				1056	734
1057	734	47925				1057	47925
1058	734	47925				1058	47925
1059	734	47925				1059	47925
1060	734	734				1060	734
1061	734	47925				1061	47925
1062	734	734				1062	734
1063	734	47925				1063	47925
1064	734	47925				1064	47925
1065	734	734				1065	734
1066	734	734				1066	734
1067	734	734				1067	734
1068	734	734				1068	734
1069	734	47925				1069	47925
1070	734	47925				1070	47925
1071	734	734				1071	734
1072	734	47925				1072	47925
1073	734	734				1073	734
1074	734	734				1074	734
1075	734	47925				1075	47925
1076	734	734				1076	734
1077	734	734				1077	734
1078	734	47925				1078	47925
1079	734	734				1079	734
1080	734	734				1080	734
1081	734	47925				1081	47925
1082	734	734				1082	734
1083	734	47925				1083	47925
1084	734	47925				1084	47925
1085	734	734				1085	734
1086	734	734				1086	734
1087	734	734				1087	734
1088	734	47925				1088	47925
1089	734	734				1089	734
1090	734	47925				1090	47925
1091	734	734				1091	734
1092	734	47925				1092	47925
1093	734	734				1093	734
1094	734	734				1094	734
1095	734	47925				1095	47925
1096	734	47925				1096	47925
1097	734	47925				1097	47925
1098	734	734				1098	734
1099	734	47925				1099	47925
1100	734	734				1100	734
1101	734	47925				1101	47925
1102	734	47925				1102	47925
1103	734	734				1103	734
1104	734	47925				1104	47925
1105	734	734				1105	734
1106	734	47925				1106	47925
1107	734	47925				1107	47925
1108	734	47925				1108	47925
1109	734	734				1109	734
1110	734	734				1110	734
1111	734	47925				1111	47925
1112	734	734				1112	734
1113	734	734				1113	734
1114	734	47925				1114	47925
1115	734	734				1115	734
1116	734	734				1116	734
1117	734	734				1117	734
1118	734	734				1118	734
1119	734	734				1119	734
1120	734	734				1120	734
1121	734	734				1121	734
1122	734	47925				1122	47925
1123	734	47925				1123	47925
1124	734	47925				1124	47925
1125	734	47925				1125	47925
1126	734	47925				1126	47925
1127	734	734				1127	734
1128	734	47925				1128	47925
1129	734	47925				1129	47925
1130	734	734				1130	734
1131	734	47925				1131	47925
1132	734	47925				1132	47925
1133	734	47925				1133	47925
1134	734	47925				1134	47925
1135	734	47925				1135	47925
1136	734	734				1136	734
1137	734	734				1137	734
1138	734	47925				1138	47925
1139	734	734				1139	734
1140	734	47925				1140	47925
1141	734	734				1141	734
1142	734	734				1142	734
1143	734	47925				1143	47925
1144	734	47925				1144	47925
1145	734	47925				1145	47925
1146	734	734				1146	734
1147	734	47925				1147	47925
1148	734	47925				1148	47925
1149	734	734				1149	734
1150	734	47925				1150	47925
1151	734	47925				1151	47925
1152	734	734				1152	734
1153	734	47925				1153	47925
1154	734	47925				1154	47925
1155	734	47925				1155	47925
1156	734	47925				1156	47925
1157	734	734				1157	734
1158	734	734				1158	734
1159	734	734				1159	734
1160	734	734				1160	734
1161	734	47925				1161	47925
1162	734	47925				1162	47925
1163	734	47925				1163	47925
1164	734	47925				1164	47925
1165	734	47925				1165	47925
1166	734	47925				1166	47925
1167	734	47925				1167	47925
1168	734	47925				1168	47925
1169	734	47925				1169	47925
1170	734	47925				1170	47925
1171	734	734				1171	734
1172	734	47925				1172	47925
1173	734	734				1173	734
1174	734	734				1174	734
1175	734	47925				1175	47925
1176	734	47925				1176	47925
1177	734	47925				1177	47925
1178	734	47925				1178	47925
1179	734	47925				1179	47925
1180	734	734				1180	734
